Features,Importance
EXT_SOURCE_2,0.34
EXT_SOURCE_3,0.32
CODE_GENDER,0.17
PREV_CNT_PAYMENT_MEAN,0.17
PREV_NAME_PRODUCT_TYPE_x-sell_MEAN,0.13
FLAG_DOCUMENT_3,0.12
FLAG_OWN_CAR,0.11
PREV_NAME_YIELD_GROUP_middle_MEAN,0.1
ANNEES_AGE,0.1
NAME_EDUCATION_TYPE_Higher education,0.1
PREV_NAME_YIELD_GROUP_low_action_MEAN,0.1
PREV_NAME_YIELD_GROUP_low_normal_MEAN,0.1
PREV_NAME_CLIENT_TYPE_New_MEAN,0.09
NAME_FAMILY_STATUS_Married,0.09
DAYS_EMPLOYED_PERC,0.09
POS_MONTHS_BALANCE_SIZE,0.09
PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,0.08
PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,0.07
PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,0.07
PREV_AMT_ANNUITY_MAX,0.07
PREV_NAME_YIELD_GROUP_high_MEAN,0.07
PREV_CNT_PAYMENT_SUM,0.06
PREV_RATE_DOWN_PAYMENT_MAX,0.06
INSTAL_AMT_INSTALMENT_SUM,0.06
BURO_DAYS_CREDIT_MIN,0.06
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,0.05
INSTAL_PAYMENT_RESTANT_MAX,0.05
ANNUITY_INCOME_PERC,0.05
PREV_AMT_ANNUITY_MIN,0.05
AMT_REQ_CREDIT_BUREAU_YEAR,0.04
PREV_PRODUCT_COMBINATION_Cash X-Sell: middle_MEAN,0.04
OCCUPATION_TYPE_Laborers,0.04
DEF_30_CNT_SOCIAL_CIRCLE,0.04
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,0.04
PREV_DAYS_DECISION_MIN,0.04
PREV_CODE_REJECT_REASON_HC_MEAN,0.04
ORGANIZATION_TYPE_Business Entity Type 3,0.04
FLAG_DOCUMENT_6,0.04
PREV_HOUR_APPR_PROCESS_START_MAX,0.04
DAYS_ID_PUBLISH,0.04
PREV_CHANNEL_TYPE_Credit and cash offices_MEAN,0.04
PREV_PRODUCT_COMBINATION_Cash X-Sell: high_MEAN,0.04
REGION_RATING_CLIENT,0.04
BURO_CREDIT_ACTIVE_Active_MEAN,0.04
CLOSED_DAYS_CREDIT_MAX,0.04
PREV_PRODUCT_COMBINATION_Cash Street: high_MEAN,0.04
INSTAL_DBD_MEAN,0.04
AMT_ANNUITY,0.04
PREV_APP_CREDIT_PERC_MAX,0.03
ORGANIZATION_TYPE_Self-employed,0.03
BURO_CREDIT_TYPE_Mortgage_MEAN,0.03
BURO_MONTHS_BALANCE_SIZE_SUM,0.03
ANNEES_LAST_PHONE_CHANGE,0.03
INSTAL_AMT_PAYMENT_MIN,0.03
BURO_DAYS_CREDIT_VAR,0.03
INSTAL_PAYMENT_RESTANT_MEAN,0.03
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,0.03
FLAG_WORK_PHONE,0.03
FLAG_PHONE,0.03
WALLSMATERIAL_MODE_Panel,0.03
NAME_INCOME_TYPE_Working,0.03
PREV_NAME_SELLER_INDUSTRY_Consumer electronics_MEAN,0.03
AMT_REQ_CREDIT_BUREAU_QRT,0.03
PREV_PRODUCT_COMBINATION_POS household with interest_MEAN,0.02
INSTAL_DBD_SUM,0.02
POS_NAME_CONTRACT_STATUS_Active_MEAN,0.02
